pdf,xlsx,jalali_date,records,engine
Supplements20260603.pdf,Supplements20260603.xlsx,13 خرداد 1405,38,pdfplumber
Supplements20260607.pdf,Supplements20260607.xlsx,17 خرداد 1405,66,pdfplumber
Supplements20260609.pdf,Supplements20260609.xlsx,19 خرداد 1405,47,pdfplumber
Supplements20260613.pdf,Supplements20260613.xlsx,23 خرداد 1405,29,pdfplumber
Supplements20260615.pdf,Supplements20260615.xlsx,25 خرداد 1405,68,pdfplumber
Supplements20260616.pdf,Supplements20260616.xlsx,26 خرداد 1405,33,pdfplumber
Supplements20260617.pdf,Supplements20260617.xlsx,27 خرداد 1405,31,pdfplumber
Supplements20260621.pdf,Supplements20260621.xlsx,31 خرداد 1405,52,pdfplumber
Supplements20260627.pdf,Supplements20260627.xlsx,6 تیر 1405,40,pdfplumber
Supplements20260628.pdf,Supplements20260628.xlsx,7 تیر 1405,28,pdfplumber
Supplements20260629.pdf,Supplements20260629.xlsx,8 تیر 1405,35,pdfplumber
Supplements20260701.pdf,Supplements20260701.xlsx,10 تیر 1405,27,pdfplumber
Supplements20260704.pdf,Supplements20260704.xlsx,13 تیر 1405,44,pdfplumber
Supplements20260705.pdf,Supplements20260705.xlsx,14 تیر 1405,33,pdfplumber
Supplements20260706.pdf,Supplements20260706.xlsx,15 تیر 1405,13,pdfplumber
Supplements20260711.pdf,Supplements20260711.xlsx,20 تیر 1405,32,pdfplumber
Supplements20260712.pdf,Supplements20260712.xlsx,21 تیر 1405,24,pdfplumber
Supplements20260713.pdf,Supplements20260713.xlsx,22 تیر 1405,10,pdfplumber
Supplements20260714.pdf,Supplements20260714.xlsx,23 تیر 1405,31,pdfplumber
Supplements20260715.pdf,Supplements20260715.xlsx,24 تیر 1405,23,pdfplumber
Supplements20260716.pdf,Supplements20260716.xlsx,25 تیر 1405,25,pdfplumber
Supplements20260720.pdf,Supplements20260720.xlsx,29 تیر 1405,31,pdfplumber
Supplements20260721.pdf,Supplements20260721.xlsx,30 تیر 1405,25,pdfplumber
Supplements20260725.pdf,Supplements20260725.xlsx,3 مرداد 1405,31,pdfplumber
Supplements20260728.pdf,Supplements20260728.xlsx,6 مرداد 1405,48,pdfplumber
Supplements20260802.pdf,Supplements20260802.xlsx,11 مرداد 1405,31,pdfplumber
Supplements20260805.pdf,Supplements20260805.xlsx,14 مرداد 1405,16,pdfplumber
Supplements20260811.pdf,Supplements20260811.xlsx,20 مرداد 1405,29,pdfplumber
Supplements20260817.pdf,Supplements20260817.xlsx,26 مرداد 1405,60,pdfplumber
Supplements20260823.pdf,Supplements20260823.xlsx,1 شهریور 1405,50,pdfplumber
Supplements20260824.pdf,Supplements20260824.xlsx,2 شهریور 1405,25,pdfplumber
Supplements20260831.pdf,Supplements20260831.xlsx,9 شهریور 1405,35,pdfplumber
Supplements20260902.pdf,Supplements20260902.xlsx,11 شهریور 1405,10,pdfplumber
Supplements20260903.pdf,Supplements20260903.xlsx,12 شهریور 1405,18,pdfplumber
Supplements20260907.pdf,Supplements20260907.xlsx,16 شهریور 1405,27,pdfplumber
Supplements20260909.pdf,Supplements20260909.xlsx,18 شهریور 1405,10,pdfplumber
Supplements20260919.pdf,Supplements20260919.xlsx,28 شهریور 1405,33,pdfplumber
Supplements20260920.pdf,Supplements20260920.xlsx,29 شهریور 1405,21,pdfplumber
Supplements20260921.pdf,Supplements20260921.xlsx,30 شهریور 1405,50,pdfplumber
